STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WV03,WV20
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/1/1970,50,30,,,1600,0,81,0,0,,59,34,504,,,,90,90,,,,,17.2,13,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/2/1970,100,100,,,1224,0.33,0,0,0,,56,43,0,,,,360,360,,,,,36.7,30,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/3/1970,80,70,,,142,0,75,0,0,,51,39,468,,,,360,360,,,,,19.5,16.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/4/1970,100,100,,,1442,0.69,0,0,0,,55,40,0,,,,45,45,,,,,17.2,14.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/5/1970,100,100,,,2318,0.11,0,0,0,,60,44,0,,,,315,315,,,,,34.4,29.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/6/1970,30,20,,,600,0,90,0,0,,44,31,564,,,,315,315,,,,,42.5,33.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/7/1970,30,20,,,1348,0,89,0,0,,42,26,564,,,,360,360,,,,,17.2,13,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/8/1970,80,100,,,1906,0,0,0,0,,47,32,0,,,,45,45,,,,,24.2,19.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/9/1970,100,100,,,930,0,0,0,0,,47,41,0,,,,360,45,,,,,31.1,25.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/10/1970,100,100,,,224,0.05,2,0,0,,50,42,12,,,,360,360,,,,,21.9,17,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/11/1970,30,30,,,1442,0,74,0,0,,71,43,468,,,,270,315,,,,,25.3,19.9,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/12/1970,0,0,,,348,0,100,0,0,,59,42,630,,,,45,45,,,,,19.5,17,,,,,,,,1,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/13/1970,90,100,,,1936,0.25,5,0,0,,51,43,36,,,,360,360,,,,,34.4,31.1,,,,,,,,1,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/14/1970,60,100,,,154,0.06,10,0,0,,49,41,66,,,,360,360,,,,,19.5,17,,,,,,,,1,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/15/1970,90,90,,,1606,0,33,0,0,,61,39,210,,,,45,45,,,,,17.2,15,1,,,,,,,1,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/16/1970,90,90,,,936,0.16,24,0,0,,64,53,156,,,,45,45,,,,,26.4,21,,,1,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/17/1970,30,50,,,30,0,74,0,0,,65,45,474,,,,360,360,,,,,17.2,14.1,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/18/1970,100,100,,,1642,0,0,0,0,,54,35,0,,,,360,360,,,,,30,27.1,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/19/1970,30,0,,,54,0,96,0,0,,51,33,612,,,,360,315,,,,,20.8,17,,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/20/1970,40,30,,,1600,0,94,0,0,,66,35,600,,,,90,90,,,,,19.5,16.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/21/1970,100,100,,,1000,0.13,0,0,0,,58,41,0,,,,360,45,,,,,33.3,27.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/22/1970,100,100,,,42,0,0,0,0,,48,39,0,,,,360,360,,,,,23,19,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/23/1970,100,100,,,736,0,0,0,0,,56,48,0,,,,45,45,,,,,15,13,1,1,,,,,,1,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/24/1970,90,90,,,1924,0,19,0,0,,66,54,120,,,,135,135,,,,,15,11,1,1,,,,,,1,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/25/1970,70,70,,,18,0,51,0,0,,78,59,330,,,,135,135,,,,,21.9,17,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/26/1970,90,80,,,1500,0,34,0,0,,75,61,216,,,,90,90,,,,,17.2,15,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/27/1970,90,70,,,2212,0,47,0,0,,78,62,306,,,,180,180,,,,,25.3,19.9,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/28/1970,70,60,,,248,0,55,0,0,,79,66,354,,,,180,180,,,,,31.1,25.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/29/1970,30,20,,,1212,0.01,91,0,0,,68,48,588,,,,360,360,,,,,42.5,34,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/30/1970,0,10,,,924,0,98,0,0,,59,38,636,,,,360,360,,,,,21.9,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1/31/1970,80,100,,,1518,0,30,0,0,,67,41,198,,,,135,135,,,,,33.3,25.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/1/1970,30,10,,,1106,0.04,99,0,0,,74,50,648,,,,270,270,,,,,41.4,34,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/2/1970,10,20,,,1730,0,93,0,0,,69,42,612,,,,315,360,,,,,39.1,33.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/3/1970,0,0,,,6,0,100,0,0,,56,30,654,,,,360,315,,,,,30,25.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/4/1970,30,50,,,1430,0,99,0,0,,67,32,654,,,,180,180,,,,,43.6,34.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/5/1970,90,100,,,1212,0.01,10,0,0,,72,50,66,,,,135,135,,,,,31.1,25.1,,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/6/1970,100,100,,,1706,0.13,8,0,0,,68,60,54,,,,90,90,,,,,23,17,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/7/1970,80,90,,,1730,0,18,0,0,,68,58,120,,,,45,45,,,,,19.5,15,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/8/1970,70,80,,,1454,0,26,0,0,,71,52,174,,,,360,360,,,,,18.3,14.1,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/9/1970,10,10,,,1648,0,100,0,0,,73,48,666,,,,360,360,,,,,25.3,21.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/10/1970,60,100,,,1030,0,54,0,0,,61,38,360,,,,90,45,,,,,13.9,8.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/11/1970,80,80,,,1048,0,58,0,0,,74,49,390,,,,180,180,,,,,31.1,25.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/12/1970,50,50,,,800,0,66,0,0,,68,52,444,,,,360,360,,,,,30,29.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/13/1970,50,50,,,1748,0,54,0,0,,75,47,366,,,,135,135,,,,,32.2,25.9,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/14/1970,90,90,,,1724,0,42,0,0,,76,59,282,,,,135,135,,,,,38,31.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/15/1970,90,100,,,1742,0.01,5,0,0,,70,45,30,,,,315,315,,,,,35.6,29.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/16/1970,0,0,,,24,0,100,0,0,,67,38,678,,,,315,315,,,,,28.9,23,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/17/1970,0,10,,,1348,0,100,0,0,,72,35,678,,,,180,180,,,,,28.9,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/18/1970,0,10,,,1630,0,99,0,0,,78,47,672,,,,180,180,,,,,33.3,25.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/19/1970,90,100,,,754,0,0,0,0,,64,55,0,,,,360,360,,,,,38,29.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/20/1970,100,100,,,930,0.01,1,0,0,,57,51,6,,,,45,45,,,,,27.5,21.9,,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/21/1970,90,80,,,1436,0,53,0,0,,67,48,366,,,,45,45,,,,,32.2,23.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/22/1970,100,100,,,1230,0.06,11,0,0,,69,58,78,,,,135,135,,,,,24.2,17,,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/23/1970,100,100,,,1630,0.74,0,0,0,,64,59,0,,,,135,135,,,,,17.2,13,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/24/1970,60,70,,,2242,0.01,33,0,0,,74,59,228,,,,315,315,,,,,27.5,23.9,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/25/1970,20,50,,,300,0,81,0,0,,70,52,558,,,,315,315,,,,,31.1,25.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/26/1970,40,40,,,400,0,98,0,0,,63,43,678,,,,45,45,,,,,23,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/27/1970,100,100,,,1400,0,1,0,0,,70,53,6,,,,135,135,,,,,34.4,28,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",2/28/1970,80,90,,,1318,0,50,0,0,,74,62,348,,,,180,135,,,,,31.1,25.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/1/1970,100,100,,,1324,0,41,0,0,,76,67,288,,,,180,180,,,,,30,23.9,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/2/1970,100,100,,,1124,0,45,0,0,,74,67,318,,,,180,180,,,,,38,32,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/3/1970,70,80,,,148,0,53,0,0,,82,59,372,,,,180,180,,,,,21.9,17,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/4/1970,80,100,,,1606,0,9,0,0,,73,53,66,,,,315,315,,,,,33.3,25.9,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/5/1970,0,10,,,1642,0,97,0,0,,72,46,684,,,,135,90,,,,,20.8,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/6/1970,80,100,,,1506,0.9,18,0,0,,72,60,126,,,,135,135,,,,,36.7,30,,,1,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/7/1970,80,60,,,1648,0,54,0,0,,65,54,384,,,,315,315,,,,,33.3,29.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/8/1970,30,20,,,118,0,89,0,0,,68,49,630,,,,315,315,,,,,21.9,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/9/1970,20,10,,,1706,0,92,0,0,,72,45,654,,,,135,135,,,,,30,27.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/10/1970,80,90,,,1218,0.59,41,0,0,,75,57,288,,,,180,180,,,,,33.3,27.1,,,1,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/11/1970,90,100,,,2006,0,19,0,0,,57,47,138,,,,315,315,,,,,28.9,23,1,,,,,,,1,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/12/1970,30,50,,,230,0,84,0,0,,57,41,600,,,,315,315,,,,,30,23.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/13/1970,20,20,,,854,0,83,0,0,,60,36,594,,,,360,360,,,,,23,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/14/1970,0,0,,,1706,0,100,0,0,,69,37,720,,,,180,180,,,,,21.9,17,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/15/1970,30,20,,,1600,0,91,0,0,,72,42,654,,,,180,135,,,,,40.3,31.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/16/1970,60,90,,,1230,0,27,0,0,,70,61,192,,,,135,135,,,,,38,32,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/17/1970,40,30,,,836,0.01,87,0,0,,70,53,624,,,,360,360,,,,,26.4,23,,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/18/1970,90,100,,,1206,0,26,0,0,,73,52,192,,,,135,135,,,,,31.1,23.9,,,,,,,,,,,,,,,1,,,,,,
